   4.5971255e-02  -1.1639037e-01   2.1178387e-01  -3.1997847e-01   4.2601418e-01  -5.1649646e-01   5.8231032e-01  -6.1944660e-01   6.2835193e-01  -6.1247657e-01
   6.2865590e-02  -1.5460783e-01   2.7318482e-01  -4.0067561e-01   5.1769010e-01  -6.0893588e-01   6.6595192e-01  -6.8718845e-01   6.7636118e-01  -6.4013847e-01
   8.4484661e-02  -2.0149826e-01   3.4506733e-01  -4.9017129e-01   6.1291738e-01  -6.9714960e-01   7.3664211e-01  -7.3385172e-01   6.9689386e-01  -6.3623747e-01
   1.1162683e-01  -2.5772685e-01   4.2683344e-01  -5.8567640e-01   7.0641946e-01  -7.7379720e-01   7.8591344e-01  -7.5095556e-01   6.8243666e-01  -5.9488206e-01
   1.4506684e-01  -3.2359826e-01   5.1702487e-01  -6.8316133e-01   7.9167677e-01  -8.3077120e-01   8.0540783e-01  -7.3121062e-01   6.2773357e-01  -5.1330784e-01
   1.8550473e-01  -3.9893798e-01   6.1321723e-01  -7.7741491e-01   8.6129046e-01  -8.5992087e-01   7.8790706e-01  -6.6972099e-01   5.3099387e-01  -3.9294610e-01
   2.3350872e-01  -4.8298609e-01   7.1198336e-01  -8.6224690e-01   9.0753822e-01  -8.5395146e-01   7.2844434e-01  -5.6511166e-01   3.9484402e-01  -2.4006671e-01
   2.8945573e-01  -5.7431681e-01   8.0894504e-01  -9.3084116e-01   9.2309093e-01  -8.0740942e-01   6.2534645e-01  -4.2038630e-01   2.2681169e-01  -6.5796538e-02
   3.5347414e-01  -6.7079619e-01   8.9892515e-01  -9.7624775e-01   9.0182902e-01  -7.1763260e-01   4.8103736e-01  -2.4332785e-01   3.9172159e-02   1.1460881e-01
   4.2539359e-01  -7.6958892e-01   9.7620259e-01  -9.9198178e-01   8.3967230e-01  -5.8552732e-01   3.0244132e-01  -4.6297712e-02  -1.5193061e-01   2.8324669e-01
   5.0470709e-01  -8.6722114e-01   1.0348606e+00  -9.7267784e-01   7.3532028e-01  -4.1603739e-01   1.0086055e-01   1.5463389e-01  -3.2806340e-01   4.2167419e-01
   5.9054976e-01  -9.5970162e-01   1.0692067e+00  -9.1473388e-01   5.9079721e-01  -2.1819476e-01  -1.0873428e-01   3.4119351e-01  -4.7063434e-01   5.1338060e-01
   6.8169778e-01  -1.0426980e+00   1.0742319e+00  -8.1687133e-01   4.1170764e-01  -4.6875695e-03  -3.0897964e-01   4.9490483e-01  -5.6331117e-01   5.4626665e-01
   7.7658945e-01  -1.1117589e+00   1.0460689e+00  -6.8053938e-01   2.0713589e-01   2.0905757e-01  -4.8185128e-01   5.9934575e-01  -5.9438330e-01   5.1472752e-01
   8.7336873e-01  -1.1625672e+00   9.8240475e-01  -5.1010294e-01  -1.0838043e-02   4.0621386e-01  -6.1066224e-01   6.4235762e-01  -5.5869610e-01   4.2096241e-01
   9.6994951e-01  -1.1912066e+00   8.8280484e-01  -3.1277370e-01  -2.2798657e-01   5.7018336e-01  -6.8207871e-01   6.1788043e-01  -4.5882128e-01   2.7523061e-01
   1.0640972e+00  -1.1944203e+00   7.4891203e-01  -9.8270301e-02  -4.2907942e-01   6.8633652e-01  -6.8788221e-01   5.2711848e-01  -3.0522354e-01   9.4929712e-02
   1.1535226e+00  -1.1698404e+00   5.8449374e-01   1.2177636e-01  -5.9921669e-01   7.4365417e-01  -6.2622407e-01   3.7882278e-01  -1.1532838e-01  -9.7439109e-02
   1.2359825e+00  -1.1161699e+00   3.9532581e-01   3.3462738e-01  -7.2521206e-01   7.3606500e-01  -5.0217496e-01   1.8859664e-01   8.8434920e-02  -2.7716520e-01
   1.3093792e+00  -1.0333009e+00   1.8891659e-01   5.2737967e-01  -7.9687618e-01   6.6330117e-01  -3.2746209e-01  -2.2727054e-02   2.8137593e-01  -4.2067396e-01
   1.3718538e+00  -9.2235968e-01  -2.5909394e-02   6.8796217e-01  -8.0805684e-01   5.3115073e-01  -1.1939474e-01  -2.3145011e-01   4.3970029e-01  -5.0882618e-01
